"filename", "language", "C++", "CMake", "JSON", "comment", "blank", "total"
"d:\qtproject\FeiQ2\CMakeLists.txt", "CMake", 0, 56, 0, 38, 17, 111
"d:\qtproject\FeiQ2\code\MyControl\MetaDataDefine.h", "C++", 5, 0, 0, 0, 1, 6
"d:\qtproject\FeiQ2\code\MyControl\MyLabel\mylabel.cpp", "C++", 49, 0, 0, 10, 13, 72
"d:\qtproject\FeiQ2\code\MyControl\MyLabel\mylabel.h", "C++", 32, 0, 0, 7, 2, 41
"d:\qtproject\FeiQ2\code\MyControl\MyWidget\FriendItemWidget.h", "C++", 69, 0, 0, 12, 11, 92
"d:\qtproject\FeiQ2\code\fileSystem\downloader\downloader.cpp", "C++", 0, 0, 0, 0, 1, 1
"d:\qtproject\FeiQ2\code\fileSystem\downloader\downloader.h", "C++", 7, 0, 0, 1, 0, 8
"d:\qtproject\FeiQ2\code\fileSystem\uploader\uploader.cpp", "C++", 107, 0, 0, 18, 8, 133
"d:\qtproject\FeiQ2\code\fileSystem\uploader\uploader.h", "C++", 28, 0, 0, 9, 5, 42
"d:\qtproject\FeiQ2\code\jsonCpp\dispositionReader.cpp", "C++", 87, 0, 0, 21, 16, 124
"d:\qtproject\FeiQ2\code\jsonCpp\dispositionReader.h", "C++", 38, 0, 0, 9, 6, 53
"d:\qtproject\FeiQ2\code\logs\logs.cpp", "C++", 42, 0, 0, 14, 3, 59
"d:\qtproject\FeiQ2\code\logs\logs.h", "C++", 24, 0, 0, 3, 1, 28
"d:\qtproject\FeiQ2\code\main.cpp", "C++", 12, 0, 0, 0, 2, 14
"d:\qtproject\FeiQ2\code\mainwindow\mainwindow.cpp", "C++", 49, 0, 0, 17, 4, 70
"d:\qtproject\FeiQ2\code\mainwindow\mainwindow.h", "C++", 25, 0, 0, 0, 4, 29
"d:\qtproject\FeiQ2\code\networkModule\NetworkHelper.cpp", "C++", 23, 0, 0, 5, 6, 34
"d:\qtproject\FeiQ2\code\networkModule\NetworkHelper.h", "C++", 27, 0, 0, 7, 4, 38
"d:\qtproject\FeiQ2\code\networkModule\NetworkManager.cpp", "C++", 45, 0, 0, 1, 7, 53
"d:\qtproject\FeiQ2\code\networkModule\NetworkManager.h", "C++", 23, 0, 0, 5, 6, 34
"d:\qtproject\FeiQ2\code\networkModule\Socket.cpp", "C++", 389, 0, 0, 81, 39, 509
"d:\qtproject\FeiQ2\code\networkModule\Socket.h", "C++", 139, 0, 0, 30, 21, 190
"d:\qtproject\FeiQ2\code\selfDomain\SelfDomain.h", "C++", 94, 0, 0, 41, 7, 142
"d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.cpp", "C++", 75, 0, 0, 4, 13, 92
"d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.h", "C++", 19, 0, 0, 0, 2, 21
"d:\qtproject\FeiQ2\code\systemInfoHelper\AdapterInfo.cpp", "C++", 148, 0, 0, 55, 24, 227
"d:\qtproject\FeiQ2\code\systemInfoHelper\AdapterInfo.h", "C++", 76, 0, 0, 13, 7, 96
"d:\qtproject\FeiQ2\code\systemInfoHelper\userLocalInfo.cpp", "C++", 23, 0, 0, 4, 5, 32
"d:\qtproject\FeiQ2\code\systemInfoHelper\userLocalInfo.h", "C++", 40, 0, 0, 5, 3, 48
"d:\qtproject\FeiQ2\code\task\CurrentTask.h", "C++", 151, 0, 0, 49, 15, 215
"d:\qtproject\FeiQ2\code\threadPool\ThreadPool.h", "C++", 81, 0, 0, 9, 8, 98
"d:\qtproject\FeiQ2\test\BoostAsio\CMakeLists.txt", "CMake", 0, 0, 0, 0, 1, 1
"d:\qtproject\FeiQ2\test\BoostAsio\test.cpp", "C++", 125, 0, 0, 13, 17, 155
"d:\qtproject\FeiQ2\test\BoostUdp\CMakeLists.txt", "CMake", 0, 5, 0, 8, 3, 16
"d:\qtproject\FeiQ2\test\BoostUdp\test.cpp", "C++", 91, 0, 0, 9, 21, 121
"d:\qtproject\FeiQ2\test\CMakeLists.txt", "CMake", 0, 19, 0, 8, 4, 31
"d:\qtproject\FeiQ2\test\GetLocalName\test.cpp", "C++", 23, 0, 0, 2, 3, 28
"d:\qtproject\FeiQ2\test\GetLocalNet\CMakeLists.txt", "CMake", 0, 9, 0, 1, 0, 10
"d:\qtproject\FeiQ2\test\GetLocalNet\test.cpp", "C++", 150, 0, 0, 54, 19, 223
"d:\qtproject\FeiQ2\test\boostFilesystem\main.cpp", "C++", 0, 0, 0, 0, 1, 1
"d:\qtproject\FeiQ2\test\jsonCpp\CMakeLists.txt", "CMake", 0, 11, 0, 3, 3, 17
"d:\qtproject\FeiQ2\test\jsonCpp\test.cpp", "C++", 53, 0, 0, 4, 11, 68
"d:\qtproject\FeiQ2\test\jsonCpp\test_json.json", "JSON", 0, 0, 13, 0, 0, 13
"Total", "-", 2369, 100, 13, 570, 344, 3396